as_of;download_time;gross_salary;link;name;net_salary;role;sector
01/01/18;2018-02-15 11:28:59.915455;R$64.602,10;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10989_detalhes.html;10989;R$42.606,00;PROCURADOR LEGISLATIVO;SGP - SECRETARIA GERAL PARLAMENTAR
01/01/18;2018-02-15 11:28:59.915455;R$63.279,48;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11045_detalhes.html;11045;R$41.856,86;PROCURADOR LEGISLATIVO;SGP - SECRETARIA GERAL PARLAMENTAR
01/01/18;2018-02-15 11:28:59.915455;R$53.385,13;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10858_detalhes.html;10858;R$39.573,58;CONSULTOR TÌäCNICO LEGISLATIVO - CONTADOR;SGA-2 - SECRETARIA DE CONTABILIDADE, MATERIAIS E GESTÌÄO DE CONTRATOS
01/01/18;2018-02-15 11:28:59.915455;R$47.532,11;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11012_detalhes.html;11012;R$35.330,14;PROCURADOR LEGISLATIVO;GABINETE DA LIDERANÌàA DE REPRESENTAÌàÌÄO PARTIDÌRIA DO MDB
01/01/18;2018-02-15 11:28:59.915455;R$47.336,37;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10872_detalhes.html;10872;R$35.240,37;TÌäCNICO ADMINISTRATIVO;SGP-23 - EQUIPE DE FINALIZAÌàÌÄO DO PROCESSO LEGISLATIVO
01/01/18;2018-02-15 11:28:59.915455;R$44.694,72;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11023_detalhes.html;11023;R$29.812,91;PROCURADOR LEGISLATIVO;SETOR DE ELABORAÌàÌÄO LEGISLATIVA
01/01/18;2018-02-15 11:28:59.915455;R$43.775,98;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10629_detalhes.html;10629;R$32.661,53;TÌäCNICO PARLAMENTAR (PS);CCI - CENTRO DE COMUNICAÌàÌÄO INSTITUCIONAL
01/01/18;2018-02-15 11:28:59.915455;R$42.626,48;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10864_detalhes.html;10864;R$31.773,56;TÌäCNICO ADMINISTRATIVO;SGA-1 - SECRETARIA DE RECURSOS HUMANOS
01/01/18;2018-02-15 11:28:59.915455;R$40.753,42;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11073_detalhes.html;11073;R$27.987,30;PROCURADOR LEGISLATIVO;SGA - SECRETARIA GERAL ADMINISTRATIVA
01/01/18;2018-02-15 11:28:59.915455;R$40.585,37;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11066_detalhes.html;11066;R$27.109,21;PROCURADOR LEGISLATIVO;SGA - SECRETARIA GERAL ADMINISTRATIVA
01/01/18;2018-02-15 11:28:59.915455;R$40.585,37;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11137_detalhes.html;11137;R$27.057,07;PROCURADOR LEGISLATIVO;GABINETE DA LIDERANÌàA DE REPRESENTAÌàÌÄO PARTIDÌRIA DO PV
01/01/18;2018-02-15 11:28:59.915455;R$40.083,28;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10925_detalhes.html;10925;R$29.981,88;TÌäCNICO ADMINISTRATIVO;CCI - CENTRO DE COMUNICAÌàÌÄO INSTITUCIONAL
01/01/18;2018-02-15 11:28:59.915455;R$38.816,01;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10943_detalhes.html;10943;R$25.915,39;;SGA-1 - SECRETARIA DE RECURSOS HUMANOS
01/01/18;2018-02-15 11:28:59.915455;R$38.618,68;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11037_detalhes.html;11037;R$25.788,07;PROCURADOR LEGISLATIVO;SETOR JURÌDICO-ADMINISTRATIVO
